,Dataset,Method,Mask Type,Ratio,Avg MSE,STD of MSE,Avg Acc,STD of Acc
0,bean,HyperImpute_gain,MCAR,0.25,9955486.922968565,665008.9762844824,,
1,adult,HyperImpute_gain,MCAR,0.25,984451963.0607984,45959298.327320814,,
2,adult,HyperImpute_gain,MCAR,0.5,1193262744.184065,60913470.7863913,,
3,adult,HyperImpute_gain,MCAR,0.75,2724172625.094219,631322378.6762335,,
4,adult,HyperImpute_gain,MAR,0.75,3063711492.740154,123610465.5327116,,
5,gesture,HyperImpute_gain,MCAR,0.25,2.617595505802742e-05,5.1387439536794676e-08,,
6,default,HyperImpute_gain,MCAR,0.25,1174878885.9059496,93095267.2978436,,
7,letter,HyperImpute_gain,MCAR,0.25,3.741299534153803,0.0955722739591623,,
8,magic,HyperImpute_gain,MCAR,0.25,1410.019892803448,3.9831522377518014,,
9,news,HyperImpute_gain,MCAR,0.25,600230429.587531,30568767.451659773,,
10,shoppers,HyperImpute_gain,MCAR,0.25,152447.1173088719,4603.013893048581,,
11,shoppers,HyperImpute_miracle,MCAR,0.25,90573.14531597898,863.3184400956379,,
12,shoppers,HyperImpute_miracle,MCAR,0.25,90573.14531597898,863.3184400956379,,
13,shoppers,HyperImpute_gain,MCAR,0.25,167620.7348616857,17115.483803931264,,
14,default,HyperImpute_hyperimpute,MCAR,0.25,,,,
15,default,HyperImpute_miracle,MCAR,0.25,1482921778.628711,191238622.2436447,,
16,default,HyperImpute_gain,MCAR,0.25,1031944566.3013651,83444608.9311483,,
