,Dataset,Method,Mask Type,Ratio,Avg MSE,STD of MSE,Avg Acc,STD of Acc
0,adult,GReaT,MAR,0.25,3.695183101236132,3.26104902124536,22.88130079788213,1.5555344109210885
1,adult,GReaT,MAR,0.5,1.6051043547703143,0.2108534299738173,45.97027220205964,2.49958431303231
2,adult,GReaT,MAR,0.75,1.699341111782439,0.4848561207141592,50.15623690961396,3.06877327227879
3,adult,GReaT,MCAR,0.25,5.116182324250863,4.384962839531813,15.90063536456778,0.7679173553767112
4,adult,GReaT,MCAR,0.5,2.502805487742124,1.3767405952561258,31.08413205646369,0.8715492673662535
5,adult,GReaT,MCAR,0.75,1.785234738288287,0.5753517365723225,42.615767202320725,0.2491068176528618
6,adult,GReaT,MNAR,0.25,2.82912686538474,1.5804629007106958,16.48595051717505,0.9551003452122824
7,adult,GReaT,MNAR,0.5,2.932446352862909,1.769857494859591,31.65885323509965,0.9036190075054844
8,adult,GReaT,MNAR,0.75,1.4802041705041336,0.0553865997551746,42.75888330555936,0.8319417704142227
9,bean,GReaT,MAR,0.25,1.816492078663656,0.0499822073033409,,
10,bean,GReaT,MAR,0.5,4.942513701793125,4.650322641503827,,
11,bean,GReaT,MAR,0.75,4.549982335437751,2.459732932199471,,
12,bean,GReaT,MCAR,0.25,2.725703391094112,1.8532483063552008,,
13,bean,GReaT,MCAR,0.5,4.088499954597276,3.73760465365696,,
14,bean,GReaT,MCAR,0.75,4.2121235878867616,1.7346680707570996,,
15,bean,GReaT,MNAR,0.25,1.959717940309136,0.1481421141101071,,
16,bean,GReaT,MNAR,0.5,2.5203452628552525,0.7470669545173592,,
17,bean,GReaT,MNAR,0.75,7.907809212840414,4.182349188114562,,
18,california,GReaT,MAR,0.25,1.5453063602027597,0.046491313653992,,
19,california,GReaT,MAR,0.5,1.4100890211399266,0.1919162945049314,,
20,california,GReaT,MAR,0.75,1.425276858330771,0.0572130200925356,,
21,california,GReaT,MCAR,0.25,1.6716970123856023,0.0376607919456629,,
22,california,GReaT,MCAR,0.5,1.5493662422311334,0.0376936779056122,,
23,california,GReaT,MCAR,0.75,1.5033531296346638,0.0145731653987197,,
24,california,GReaT,MNAR,0.25,1.7566608646988826,0.1141221924663893,,
25,california,GReaT,MNAR,0.5,2.0031680860940173,0.3545503396134543,,
26,california,GReaT,MNAR,0.75,1.6153272635250384,0.2848487029369932,,
27,default,GReaT,MAR,0.25,11.385348948051512,15.121873575959272,44.13044046252181,0.488787578472683
28,default,GReaT,MAR,0.5,1.844259288453042,1.1210340535082366,55.81055833786443,1.968815237547824
29,default,GReaT,MAR,0.75,2.095208272810896,0.5849668788925063,56.92884769876442,1.426235882554381
30,default,GReaT,MCAR,0.25,1.7497620052971523,0.2626550237965545,41.73785486844328,0.2682908727907024
31,default,GReaT,MCAR,0.5,2.303257095892537,1.466745097124151,49.98853796682939,0.4447306841780254
32,default,GReaT,MCAR,0.75,2.3375789363387365,2.0112438773015087,54.91346608702735,0.3276589334328366
33,default,GReaT,MNAR,0.25,1.9863109059807893,0.2030647677545382,42.27849388807564,0.6199868767146288
34,default,GReaT,MNAR,0.5,1.726690843334967,0.393778106061695,50.25982549584292,0.4685754681724619
35,default,GReaT,MNAR,0.75,1.887508431815375,0.3052989732526704,54.84657810484693,0.3646171264693161
36,gesture,GReaT,MAR,0.25,289986.59263678617,140322.2076152986,,
37,gesture,GReaT,MAR,0.5,209594.9377930963,75726.32198689751,,
38,gesture,GReaT,MAR,0.75,408331.3189075532,97273.07765508322,,
39,gesture,GReaT,MCAR,0.25,1124238.3761265976,1698356.5393423322,,
40,gesture,GReaT,MCAR,0.5,136868.10522156334,26575.176963430586,,
41,gesture,GReaT,MCAR,0.75,323314.70182649355,29458.921569668524,,
42,gesture,GReaT,MNAR,0.25,233387.4761360589,37501.55074227077,,
43,gesture,GReaT,MNAR,0.5,147757.61775841302,32163.25694251208,,
44,gesture,GReaT,MNAR,0.75,371174.179866565,27369.6195059872,,
45,letter,GReaT,MAR,0.25,1.6695411956422102,0.0441110311072919,,
46,letter,GReaT,MAR,0.5,1.3932673250859868,0.0404806316709556,,
47,letter,GReaT,MAR,0.75,1.4418491508577878,0.0379647574886989,,
48,letter,GReaT,MCAR,0.25,1.7419188294027173,0.0101947536751758,,
49,letter,GReaT,MCAR,0.5,1.5521583597514963,0.0177837794971978,,
50,letter,GReaT,MCAR,0.75,1.503938362866887,0.005160594124535,,
51,letter,GReaT,MNAR,0.25,1.7527479150875542,0.0293443837632878,,
52,letter,GReaT,MNAR,0.5,1.549379733840528,0.0165711445809734,,
53,letter,GReaT,MNAR,0.75,1.5033474214393112,0.0188344706285341,,
54,magic,GReaT,MAR,0.25,1.637532449940356,0.1491695925840832,,
55,magic,GReaT,MAR,0.5,1.236704495333101,0.1055123219587464,,
56,magic,GReaT,MAR,0.75,1.190986205740148,0.0378802398409876,,
57,magic,GReaT,MCAR,0.25,1.599585997649595,0.0109876523564123,,
58,magic,GReaT,MCAR,0.5,1.4007129098644,0.0172202264833836,,
59,magic,GReaT,MCAR,0.75,1.272533493001911,0.0138474539348663,,
60,magic,GReaT,MNAR,0.25,1.673090561745011,0.0787988613114747,,
61,magic,GReaT,MNAR,0.5,1.4039150776690692,0.0502560109905461,,
62,magic,GReaT,MNAR,0.75,1.2523948213946192,0.0601785129624403,,
63,news,GReaT,MAR,0.5,146.31897353747803,126.15265204174844,16.62717616814816,0.3294625551898154
64,news,GReaT,MAR,0.75,149.84846176656652,41.119457030952056,11.811848735609086,0.1791331925299963
65,news,GReaT,MCAR,0.75,132.66445888325907,65.79284488630725,12.085626020918587,0.4238979906341741
66,news,GReaT,MNAR,0.5,158.40685061013744,103.2350907399631,16.755985582996708,0.3269211991554684
67,news,GReaT,MNAR,0.75,155.2350090014684,60.68589231999945,12.316737216150932,0.0652964803667001
68,shoppers,GReaT,MAR,0.25,1.5107700227232943,0.0969019149892887,37.69119786416296,5.766661615714606
69,shoppers,GReaT,MAR,0.5,605391.6610427051,1210780.8812502057,37.11606253430417,5.954355884538885
70,shoppers,GReaT,MAR,0.75,1.2799519319153825,0.0210785034100289,37.89127742898229,4.348783517678345
71,shoppers,GReaT,MCAR,0.25,1.6336138155186344,0.0675632158270886,40.51233315125749,0.4588203084224684
72,shoppers,GReaT,MCAR,0.5,1.5795018524677007,0.3401055482031261,39.78785240491857,0.3763025371195667
73,shoppers,GReaT,MCAR,0.75,1.3305488152342804,0.0937283248760554,38.16581793252155,0.3257361985651645
74,shoppers,GReaT,MNAR,0.25,5.258302263364564,7.1834285172336685,39.425316358705686,0.8023546111233796
75,shoppers,GReaT,MNAR,0.5,1.409119581524926,0.0574015335119439,38.9386466438046,0.3621186083840028
76,shoppers,GReaT,MNAR,0.75,1.3045878254839909,0.0479762086409415,38.34779587953089,0.3825845974783618
77,adult,Remasker,MAR,0.25,0.916341428565107,0.0444929501881971,46.80946336598372,11.194010827302185
78,adult,Remasker,MAR,0.5,0.9446407990028682,0.0316990491476751,45.15655482894609,11.04613036506232
79,adult,Remasker,MAR,0.75,1.0262349496240657,0.01390752750936,38.67418974759397,1.43034356664792
80,adult,Remasker,MCAR,0.25,0.936148047676126,0.0473348666543074,41.36090262810958,0.571142240192913
81,adult,Remasker,MCAR,0.5,1.0589712078670708,0.0242913263663741,33.27954324219395,3.208134550437655
82,adult,Remasker,MCAR,0.75,1.0700332043489915,0.0107576495608359,29.165440978142065,0.0442349010320302
83,adult,Remasker,MNAR,0.25,0.961881899895185,0.088384670635554,40.10553728558799,2.940723366032447
84,adult,Remasker,MNAR,0.5,1.0372067609138544,0.065332137591813,35.413607550735534,0.1577702489720891
85,adult,Remasker,MNAR,0.75,1.0546420463771329,0.0322820431719981,28.954468109923106,0.2982031062704831
86,bean,Remasker,MAR,0.25,0.2263929471441177,0.0561034060182948,,
87,bean,Remasker,MAR,0.5,0.4228432721091607,0.0529326436270922,,
88,bean,Remasker,MAR,0.75,1.1387174463679417,0.0711979752572638,,
89,bean,Remasker,MCAR,0.25,0.2632491173938709,0.0892188413099496,,
90,bean,Remasker,MCAR,0.5,1.0179390999564495,0.1888866549188805,,
91,bean,Remasker,MCAR,0.75,1.3069480710450034,0.0025088991006722,,
92,bean,Remasker,MNAR,0.25,0.2674551614117882,0.0909672203227174,,
93,bean,Remasker,MNAR,0.5,1.1249083723157718,0.2187784857328173,,
94,bean,Remasker,MNAR,0.75,1.285777585264302,0.0635588432666281,,
95,california,Remasker,MAR,0.25,0.88958229396971,0.0343533892141086,,
96,california,Remasker,MAR,0.5,0.9045429033237444,0.0471233872827185,,
97,california,Remasker,MAR,0.75,1.126251938686851,0.0620206121889036,,
98,california,Remasker,MCAR,0.25,1.0115022557132156,0.12347605922645,,
99,california,Remasker,MCAR,0.5,1.397499282755437,0.0189384609145781,,
100,california,Remasker,MCAR,0.75,1.4016564861371914,0.00382097824333,,
101,california,Remasker,MNAR,0.25,1.17628539427763,0.2272850817185649,,
102,california,Remasker,MNAR,0.5,1.4224264202224248,0.0856425719153399,,
103,california,Remasker,MNAR,0.75,1.38784272885058,0.0231345501499373,,
104,default,Remasker,MAR,0.25,0.5553069449912568,0.0533886939885875,69.63483739731451,1.7587474364265956
105,default,Remasker,MAR,0.5,0.5945276507145196,0.049579186789334,62.99591375205246,1.2655985037873003
106,default,Remasker,MAR,0.75,0.8873882307087879,0.0533242186712697,50.277875372335394,1.1776075279382323
107,default,Remasker,MCAR,0.25,0.5064725627287178,0.0310586005957475,67.02667367275814,0.7113345624777961
108,default,Remasker,MCAR,0.5,0.8586138590170455,0.0500198091874167,51.232400802655306,2.3077344039564256
109,default,Remasker,MCAR,0.75,1.0064777936351248,0.0131525651658789,44.4461448709876,0.1374411848515089
110,default,Remasker,MNAR,0.25,0.6063002438899525,0.1145389964022833,66.65042867114627,1.4725891858754987
111,default,Remasker,MNAR,0.5,0.7929192017265257,0.078018537275693,55.22595295667311,1.8074603013883568
112,default,Remasker,MNAR,0.75,0.9549985511294654,0.0620094414873712,43.88910954920671,1.01615806488489
113,gesture,Remasker,MAR,0.25,0.7021006765539893,0.06368887105166,,
114,gesture,Remasker,MAR,0.5,0.970742282455162,0.0758112822860895,,
115,gesture,Remasker,MAR,0.75,3.984589866506615,0.6283593547278046,,
116,gesture,Remasker,MCAR,0.25,0.6736023693084843,0.0689837882314727,,
117,gesture,Remasker,MCAR,0.5,1.90507748863416,0.4378082387964953,,
118,gesture,Remasker,MCAR,0.75,6.660123225545514,0.0128427160788154,,
119,gesture,Remasker,MNAR,0.25,0.7706419164198951,0.0727793610214298,,
120,gesture,Remasker,MNAR,0.5,2.14497077796854,0.297367486906233,,
121,gesture,Remasker,MNAR,0.75,6.627095760566908,0.0390837482393044,,
122,letter,Remasker,MAR,0.25,0.5713431662752226,0.0268062230418361,,
123,letter,Remasker,MAR,0.5,0.7785929926448534,0.0320098575042472,,
124,letter,Remasker,MAR,0.75,1.1542436152817317,0.0228975944211771,,
125,letter,Remasker,MCAR,0.25,0.648474924558665,0.0663167538906195,,
